YEAR,Rk,Team,Conf,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A,,,,,,,,,,,,,,,,,,,,,,
2015,29,Philadelphia 76ers,E,18,64,0.22,-8.98,96.4,105.7,-9.31,-9.04,96.3,105.67,-9.38,23.2,18,64,-0.07,-9.04,95.5,104.8,95.7,0.288,0.319,0.494,0.459,16,25.5,0.195,0.497,15.2,73,0.225,Wells Fargo Center,"571,572","13,941"
2015,14,Utah Jazz,W,38,44,0.463,0.22,106.19,105.91,0.28,0.71,106.23,105.43,0.79,23.4,42,40,0.49,0.71,105.1,104.9,90.4,0.297,0.274,0.531,0.494,14.6,29.1,0.214,0.491,12.8,76.3,0.199,EnergySolutions Arena,"772,059","18,831"
2015,26,Orlando Magic,E,25,57,0.305,-5.72,102.26,108.34,-6.07,-5.87,102.3,108.54,-6.23,24.3,25,57,-0.15,-5.87,101.6,107.7,93.8,0.23,0.235,0.524,0.494,14,23.1,0.168,0.514,13.6,76,0.21,Amway Center,"688,194","16,785"
2015,28,Minnesota Timberwolves,W,16,66,0.195,-8.79,103.63,112.98,-9.36,-8,103.98,112.5,-8.52,24.4,19,63,0.79,-8,102.9,112.2,94.4,0.309,0.179,0.517,0.468,13.7,26.6,0.24,0.537,13.9,71.6,0.187,Target Center,"595,652","14,416"
2015,17,Milwaukee Bucks,E,41,41,0.5,0.43,103.57,103.18,0.38,-0.09,103.33,103.49,-0.16,24.6,42,40,-0.52,-0.09,102.7,102.2,94.1,0.258,0.223,0.536,0.499,15.5,25.4,0.195,0.487,15.9,73.3,0.221,BMO Harris Bradley Center,"593,910","14,813"
2015,19,Boston Celtics,E,40,42,0.488,0.16,105.32,105.17,0.15,-0.4,105.14,105.58,-0.44,25,41,41,-0.56,-0.4,104.7,104.5,95.8,0.233,0.28,0.523,0.489,12.5,24.7,0.176,0.494,13.7,75,0.208,TD Garden,"721,350","17,594"
2015,13,New Orleans Pelicans,W,45,37,0.549,0.79,108.95,108.15,0.8,1.13,109.04,107.88,1.16,25.3,43,39,0.34,1.13,108.2,107.3,91.4,0.263,0.233,0.537,0.501,12.5,27.1,0.198,0.496,11.7,75.1,0.195,Smoothie King Center,"683,757","16,677"
2015,12,Oklahoma City Thunder,W,45,37,0.549,2.18,108.41,106.18,2.24,2.47,108.42,105.89,2.54,25.4,47,35,0.28,2.47,107.8,105.5,95.7,0.284,0.262,0.532,0.492,13.1,28.9,0.214,0.489,12.4,75.6,0.213,Chesapeake Energy Arena,"746,323","18,203"
2015,18,Phoenix Suns,W,39,43,0.476,-0.9,105.93,106.85,-0.92,-0.38,105.97,106.34,-0.37,25.7,38,44,0.52,-0.38,105.3,106.2,96.3,0.251,0.291,0.537,0.501,13.7,24.5,0.191,0.497,14,73.5,0.221,US Airways Center,"693,862","16,923"
2015,20,Detroit Pistons,E,32,50,0.39,-1,106.22,107.35,-1.14,-1.39,106.23,107.77,-1.54,25.9,38,44,-0.39,-1.39,105.3,106.4,92.8,0.261,0.29,0.515,0.482,12.3,27.7,0.184,0.502,13.2,75,0.192,The Palace of Auburn Hills,"625,917","15,266"
2015,22,Sacramento Kings,W,29,53,0.354,-3.71,106.01,109.95,-3.94,-3.07,106.24,109.51,-3.27,26,31,51,0.64,-3.07,105.3,109.2,95.4,0.363,0.204,0.542,0.49,14.8,26.5,0.276,0.507,11.8,75.2,0.2,Sleep Train Arena,"680,049","16,587"
2015,25,Charlotte Hornets,E,33,49,0.402,-3.17,100.92,104.44,-3.52,-3.44,100.75,104.55,-3.79,26,32,50,-0.27,-3.44,100.1,103.5,93,0.269,0.226,0.498,0.456,11.2,22.1,0.202,0.487,12,79.3,0.188,Time Warner Cable Arena,"704,886","17,192"
2015,11,Toronto Raptors,E,49,33,0.598,3.07,112.06,108.69,3.37,2.45,112.07,109.35,2.72,26.1,49,33,-0.62,2.45,111,107.7,92.8,0.295,0.302,0.553,0.508,12,25.6,0.232,0.506,13.4,73.3,0.208,Air Canada Centre,"809,824","19,752"
2015,21,Denver Nuggets,W,30,52,0.366,-3.55,105.11,108.68,-3.57,-3.07,105.16,108.22,-3.07,26.4,31,51,0.48,-3.07,104.5,108.2,96.1,0.278,0.284,0.518,0.479,12.7,26.6,0.204,0.504,13,74.7,0.239,Pepsi Center,"602,707","14,700"
2015,1,Golden State Warriors,W,67,15,0.817,10.1,112.18,101.86,10.32,10.01,111.9,101.67,10.23,26.6,65,17,-0.09,10.01,111.6,101.4,98.3,0.239,0.311,0.571,0.54,13.1,24.1,0.184,0.47,14.3,74.5,0.217,Oracle Arena,"803,436","19,596"
2015,30,New York Knicks,E,17,65,0.207,-9.32,100.89,111.01,-10.13,-9.49,101.06,111.36,-10.3,26.9,17,65,-0.18,-9.5,99.9,110,91.2,0.234,0.24,0.508,0.47,14,24.5,0.18,0.512,13.3,73.1,0.234,Madison Square Garden (IV),"812,292","19,812"
2015,6,Cleveland Cavaliers,E,53,29,0.646,4.48,111.93,107.13,4.8,4.08,111.97,107.58,4.39,26.9,53,29,-0.4,4.08,111.1,106.3,92.3,0.287,0.334,0.557,0.52,13.4,26.8,0.216,0.502,12.6,74.7,0.177,Quicken Loans Arena,"843,042","20,562"
2015,27,Los Angeles Lakers,W,21,61,0.256,-6.84,104.07,111.44,-7.36,-6.17,104.26,110.9,-6.65,27,23,59,0.67,-6.17,103.4,110.6,94,0.276,0.22,0.513,0.473,12.1,25.4,0.204,0.518,12.1,76.3,0.231,STAPLES Center,"768,244","18,738"
2015,5,Portland Trail Blazers,W,51,31,0.622,4.23,108.81,104.3,4.5,4.41,108.72,104.03,4.69,27,53,29,0.18,4.41,108.2,103.7,94.2,0.225,0.316,0.544,0.508,12.6,24.2,0.18,0.476,11.3,76.2,0.182,Moda Center,"798,368","19,472"
2015,7,Houston Rockets,W,56,26,0.683,3.44,107.87,104.26,3.61,3.82,107.86,103.85,4.01,27.6,50,32,0.38,3.82,107,103.4,96.5,0.312,0.392,0.548,0.512,15,26.8,0.223,0.486,14.6,72.9,0.208,Toyota Center,"747,412","18,230"
2015,4,Atlanta Hawks,E,60,22,0.732,5.43,110,103.98,6.02,4.75,109.85,104.56,5.29,27.8,56,26,-0.68,4.75,108.9,103.1,93.9,0.259,0.321,0.563,0.527,13.5,21.4,0.201,0.492,14.9,73.4,0.185,Philips Arena,"713,909","17,412"
2015,16,Indiana Pacers,E,38,44,0.463,0.28,104.44,104.04,0.4,-0.22,104.34,104.48,-0.14,28.3,42,40,-0.51,-0.23,103.5,103.2,93.2,0.266,0.255,0.523,0.484,13.1,24,0.201,0.478,12,77.9,0.217,Bankers Life Fieldhouse,"691,434","16,864"
2015,24,Miami Heat,E,37,45,0.451,-2.6,104.86,107.91,-3.05,-2.92,104.99,108.36,-3.37,28.5,33,49,-0.32,-2.92,103.9,106.7,90.9,0.306,0.262,0.54,0.5,14.5,23.2,0.227,0.505,14.2,73.4,0.213,AmericanAirlines Arena,"808,223","19,713"
2015,23,Brooklyn Nets,E,38,44,0.463,-2.88,105.15,108.19,-3.05,-3.13,105.17,108.48,-3.31,28.6,33,49,-0.25,-3.13,104.4,107.4,92.7,0.267,0.24,0.529,0.491,13,23.9,0.2,0.506,12.9,73.7,0.185,Barclays Center,"698,529","17,037"
2015,15,Washington Wizards,E,46,36,0.561,0.72,104.56,103.73,0.83,0.17,104.38,104.13,0.25,28.6,43,39,-0.55,0.17,103.7,103,93.7,0.259,0.203,0.534,0.499,14,24.9,0.192,0.481,12.9,77.3,0.21,Verizon Center,"747,796","18,239"
2015,10,Chicago Bulls,E,50,32,0.61,3,108.48,105.11,3.37,2.54,108.42,105.53,2.88,28.8,50,32,-0.46,2.54,107.5,104.3,92.8,0.304,0.269,0.536,0.489,12.9,27,0.238,0.473,11.3,74.4,0.182,United Center,"886,612","21,625"
2015,2,Los Angeles Clippers,W,56,26,0.683,6.59,113.21,106.22,6.98,6.8,113.35,106.14,7.21,28.8,58,24,0.22,6.8,112.4,105.5,94.7,0.303,0.322,0.565,0.533,11.6,22.8,0.215,0.493,13.2,75.7,0.231,STAPLES Center,"785,892","19,168"
2015,8,Memphis Grizzlies,W,55,27,0.671,3.24,106.44,102.9,3.55,3.62,106.35,102.41,3.94,29.6,50,32,0.38,3.62,105.7,102.2,92,0.276,0.184,0.531,0.489,12.6,24.7,0.214,0.492,14.5,75.3,0.183,FedEx Forum,"710,502","17,329"
2015,3,San Antonio Spurs,W,55,27,0.671,6.2,109.25,102.61,6.64,6.34,109.09,102.3,6.79,29.8,58,24,0.14,6.34,108.5,102,93.8,0.256,0.269,0.555,0.517,13.1,23.4,0.2,0.484,13.3,77.3,0.19,AT&T Center,"762,855","18,606"
2015,9,Dallas Mavericks,W,50,32,0.61,2.9,110.3,107.14,3.16,3.36,110.51,106.87,3.64,29.9,49,33,0.46,3.36,109.5,106.4,95.2,0.262,0.296,0.55,0.515,11.9,23.6,0.197,0.503,14.7,72.2,0.204,American Airlines Center,"827,702","20,188"
2016,30,Philadelphia 76ers,E,10,72,0.122,-10.23,99.65,110.15,-10.5,-9.92,99.83,110.01,-10.18,23.3,16,66,0.31,-9.92,98.8,109.2,97.9,0.269,0.327,0.519,0.487,14.8,20.6,0.186,0.51,13.5,74,0.24,Wells Fargo Center,"614,650","14,991"
2016,26,Milwaukee Bucks,E,33,49,0.402,-4.18,105.06,109.65,-4.59,-3.98,105.32,109.69,-4.37,23.5,29,53,0.2,-3.98,104.3,108.7,94.2,0.276,0.189,0.537,0.499,14.2,24.9,0.207,0.51,14.2,73.1,0.221,BMO Harris Bradley Center,"621,808","15,166"
2016,19,Orlando Magic,E,35,47,0.427,-1.62,105.73,107.47,-1.74,-1.68,105.89,107.7,-1.8,23.9,36,46,-0.06,-1.68,105.1,106.8,96,0.232,0.255,0.533,0.5,12.8,23.1,0.175,0.513,13.8,76.5,0.215,Amway Center,"719,275","17,515"
2016,10,Utah Jazz,W,40,42,0.488,1.8,106.83,104.78,2.04,1.86,106.57,104.48,2.09,24.2,46,36,0.05,1.84,105.9,103.9,91,0.286,0.297,0.54,0.501,14.2,25.9,0.213,0.495,13.5,77.7,0.21,Vivint Smart Home Arena,"791,489","19,305"
2016,13,Portland Trail Blazers,W,44,38,0.537,0.83,109.55,108.67,0.88,0.98,109.48,108.45,1.03,24.3,43,39,0.15,0.98,108.8,108,96,0.268,0.332,0.548,0.511,13.2,25.9,0.202,0.503,12.1,76.2,0.225,Moda Center,"794,085","19,368"
2016,25,Minnesota Timberwolves,W,29,53,0.354,-3.54,107.17,111.02,-3.86,-3.38,107.17,110.86,-3.68,24.6,31,51,0.15,-3.38,106.5,110.1,95.2,0.332,0.202,0.549,0.498,13.9,24.3,0.263,0.524,13.6,74.7,0.2,Target Center,"581,178","14,175"
2016,22,Denver Nuggets,W,33,49,0.402,-3.1,106.22,109.47,-3.25,-2.81,106.24,109.17,-2.94,24.7,33,49,0.29,-2.81,105.6,108.9,95.7,0.282,0.277,0.531,0.489,13.2,25.8,0.216,0.515,12.6,77.3,0.216,Pepsi Center,"577,898","14,095"
2016,14,Detroit Pistons,E,44,38,0.537,0.61,106.78,106.19,0.59,0.43,106.88,106.48,0.4,25,43,39,-0.18,0.43,106.1,105.5,95.1,0.296,0.303,0.522,0.491,12.2,27,0.197,0.504,12.5,79.3,0.196,The Palace of Auburn Hills,"677,138","16,516"
2016,8,Boston Celtics,E,48,34,0.585,3.21,107.3,104.1,3.2,2.84,107.24,104.43,2.81,25.2,50,32,-0.37,2.84,106.8,103.6,98.5,0.264,0.293,0.531,0.488,12.1,25.1,0.208,0.487,14.6,74.6,0.231,TD Garden,"749,076","18,270"
2016,3,Oklahoma City Thunder,W,55,27,0.671,7.28,113.76,106.22,7.54,7.09,113.64,106.29,7.35,25.8,59,23,-0.19,7.09,113.1,105.6,96.7,0.292,0.275,0.565,0.524,14,31.1,0.228,0.484,11.7,76,0.205,Chesapeake Energy Arena,"746,323","18,203"
2016,27,Phoenix Suns,W,23,59,0.28,-6.66,102.94,109.8,-6.86,-6.32,102.95,109.45,-6.5,26,24,58,0.34,-6.32,102.2,109,98.5,0.271,0.302,0.526,0.487,15.2,25.4,0.204,0.523,13.5,77.1,0.237,Talking Stick Resort Arena,"701,405","17,107"
2016,9,Charlotte Hornets,E,48,34,0.585,2.72,107.72,105.01,2.71,2.36,107.67,105.33,2.34,26,49,33,-0.36,2.36,107.1,104.3,95.7,0.28,0.348,0.545,0.502,11.7,20,0.222,0.496,12.5,79.8,0.191,Time Warner Cable Arena,"716,894","17,485"
2016,5,Toronto Raptors,E,56,26,0.683,4.5,111.11,106.16,4.95,4.08,111.18,106.68,4.5,26.3,53,29,-0.42,4.08,110,105.2,92.9,0.328,0.287,0.552,0.504,12.3,24.6,0.255,0.498,12.7,77.7,0.201,Air Canada Centre,"812,863","19,826"
2016,29,Los Angeles Lakers,W,17,65,0.207,-9.56,102.29,112.4,-10.12,-8.92,102.49,111.92,-9.43,26.5,17,65,0.64,-8.92,101.6,111.6,95.6,0.292,0.29,0.509,0.46,12.5,23.1,0.228,0.523,11.6,74.7,0.202,STAPLES Center,"778,877","18,997"
2016,24,New Orleans Pelicans,W,30,52,0.366,-3.79,106.27,110.17,-3.89,-3.55,106.32,109.96,-3.63,26.6,31,51,0.24,-3.56,105.6,109.5,96.8,0.259,0.277,0.537,0.498,12.3,21.2,0.201,0.523,12.7,78.8,0.225,Smoothie King Center,"688,549","16,794"
2016,21,Sacramento Kings,W,33,49,0.402,-2.48,106.57,109.07,-2.5,-2.31,106.44,108.77,-2.33,26.6,34,48,0.16,-2.32,106,108.4,100,0.295,0.26,0.546,0.51,14.2,23.9,0.214,0.521,14,74.9,0.202,Sleep Train Arena,"707,526","17,222"
2016,28,Brooklyn Nets,E,21,61,0.256,-7.35,103.74,111.6,-7.86,-7.11,104.06,111.66,-7.61,26.9,22,60,0.24,-7.12,103.2,110.9,95.2,0.246,0.218,0.527,0.492,13.6,24.1,0.186,0.534,13.1,75.7,0.176,Barclays Center,"620,142","15,125"
2016,11,Indiana Pacers,E,45,37,0.549,1.71,105.28,103.51,1.77,1.62,105.26,103.58,1.68,26.9,46,36,-0.09,1.62,104.6,102.9,96.6,0.268,0.27,0.536,0.497,13.5,23.4,0.205,0.489,14.3,76,0.205,Bankers Life Fieldhouse,"690,733","16,847"
2016,23,New York Knicks,E,32,50,0.39,-2.73,105.41,108.43,-3.03,-2.73,105.55,108.58,-3.02,27.2,33,49,0,-2.74,104.6,107.6,93.4,0.255,0.256,0.527,0.483,12.6,23.7,0.205,0.487,10.5,75.8,0.204,Madison Square Garden (IV),"812,292","19,812"
2016,17,Washington Wizards,E,41,41,0.5,-0.5,106.09,106.48,-0.39,-0.49,106.23,106.62,-0.39,27.3,40,42,0,-0.5,105.3,105.8,98.5,0.263,0.282,0.544,0.511,13.1,20.6,0.192,0.515,14.6,77.7,0.218,Verizon Center,"725,426","17,693"
2016,2,Golden State Warriors,W,73,9,0.89,10.76,115.18,104.32,10.86,10.38,115.01,104.53,10.49,27.4,65,17,-0.38,10.38,114.5,103.8,99.3,0.25,0.362,0.593,0.563,13.5,23.5,0.191,0.479,12.6,76,0.208,Oracle Arena,"803,436","19,596"
2016,18,Chicago Bulls,E,42,40,0.512,-1.48,105.85,107.28,-1.43,-1.46,106.02,107.44,-1.42,27.6,37,45,0.01,-1.46,105,106.5,95.7,0.24,0.244,0.526,0.487,12.6,24.5,0.189,0.485,10.7,74.9,0.182,United Center,"894,659","21,821"
2016,15,Houston Rockets,W,41,41,0.5,0.2,109.23,109.1,0.13,0.34,109.26,108.96,0.3,27.8,42,40,0.14,0.34,108.3,108.1,97.6,0.352,0.37,0.553,0.516,14.2,25.7,0.244,0.516,14.7,72.8,0.219,Toyota Center,"737,244","17,982"
2016,4,Cleveland Cavaliers,E,57,25,0.695,5.99,111.8,105.32,6.48,5.44,111.75,105.85,5.9,28.1,57,25,-0.55,5.45,110.9,104.5,93.3,0.259,0.352,0.558,0.524,12.7,25.1,0.194,0.496,12.6,78.5,0.205,Quicken Loans Arena,"843,042","20,562"
2016,7,Atlanta Hawks,E,48,34,0.585,3.61,105.75,102,3.75,3.49,105.74,102.12,3.62,28.2,51,31,-0.12,3.49,105.1,101.4,97.1,0.237,0.336,0.552,0.516,13.8,19.1,0.185,0.48,14.4,74.6,0.194,Philips Arena,"690,150","16,833"
2016,12,Miami Heat,E,48,34,0.585,1.65,107.01,105.34,1.67,1.5,107.08,105.56,1.52,28.4,46,36,-0.14,1.5,106.1,104.4,93.6,0.282,0.221,0.545,0.508,13.3,23.8,0.21,0.485,12.1,77.8,0.196,AmericanAirlines Arena,"809,350","19,740"
2016,6,Los Angeles Clippers,W,53,29,0.646,4.28,109.04,104.57,4.47,4.13,108.69,104.39,4.31,29.7,53,29,-0.15,4.13,108.3,103.8,95.8,0.318,0.324,0.556,0.524,12.1,20.1,0.22,0.48,13.8,73.8,0.222,STAPLES Center,"786,910","19,193"
2016,16,Dallas Mavericks,W,42,40,0.512,-0.3,107.29,107.48,-0.19,-0.02,107.24,107.13,0.11,30.3,40,42,0.29,-0.02,106.7,107,94.3,0.265,0.339,0.544,0.502,12,20.6,0.211,0.504,12.8,76.2,0.198,American Airlines Center,"825,901","20,144"
2016,1,San Antonio Spurs,W,67,15,0.817,10.63,111.04,99.55,11.49,10.28,110.59,99.49,11.1,30.3,67,15,-0.36,10.28,110.3,99,93.8,0.246,0.223,0.564,0.526,12.4,23,0.197,0.477,14.1,79.1,0.182,AT&T Center,"756,445","18,450"
