YEAR,Rk,Team,Conf,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A,,,,,,,,,,,,,,,,,,,,,,
2016,20,Memphis Grizzlies,W,42,40,0.512,-2.24,106.36,108.69,-2.33,-2.13,106.23,108.45,-2.22,30.5,35,47,0.11,-2.14,105.4,107.8,93.3,0.295,0.222,0.524,0.477,12.3,25.3,0.231,0.518,15.2,75.1,0.251,FedEx Forum,"701,894","17,119"
2017,19,Minnesota Timberwolves,W,31,51,0.378,-1.11,111.54,112.74,-1.2,-0.63,111.75,112.46,-0.71,24,38,44,0.47,-0.64,110.8,112,94.6,0.287,0.249,0.555,0.511,12.9,27.2,0.229,0.535,13.2,75.9,0.212,Target Center,"607,203","14,810"
2017,27,Philadelphia 76ers,E,28,54,0.341,-5.7,103.96,109.81,-5.85,-5.83,103.92,109.91,-5.99,24.6,26,56,-0.14,-5.83,103.2,108.9,98.5,0.258,0.349,0.539,0.501,14.9,22.4,0.199,0.512,13.5,75.3,0.234,Wells Fargo Center,"710,557","17,331"
2017,10,Oklahoma City Thunder,W,47,35,0.573,0.76,108.95,108.17,0.78,1.15,108.94,107.75,1.18,24.7,43,39,0.39,1.14,108.3,107.5,97.8,0.295,0.295,0.54,0.5,13.2,27.9,0.22,0.511,12.5,79,0.218,Chesapeake Energy Arena,"746,323","18,203"
2017,16,Portland Trail Blazers,W,41,41,0.5,-0.52,110.93,111.46,-0.53,-0.23,111.09,111.31,-0.22,24.8,40,42,0.3,-0.23,110.3,110.8,96.7,0.275,0.322,0.559,0.52,12.5,23,0.214,0.508,11.6,76.8,0.241,Moda Center,"792,029","19,318"
2017,26,Phoenix Suns,W,24,58,0.293,-5.63,107.32,112.79,-5.47,-5.14,107.43,112.41,-4.98,25,27,55,0.49,-5.14,106.6,112.2,100.3,0.297,0.255,0.538,0.493,13.4,26,0.231,0.525,13.1,76.4,0.264,Talking Stick Resort Arena,"708,639","17,134"
2017,28,Los Angeles Lakers,W,26,56,0.317,-6.88,106.69,113.72,-7.02,-6.29,106.96,113.38,-6.42,25.1,24,58,0.58,-6.29,106,113,98.5,0.259,0.295,0.537,0.501,13.5,25,0.195,0.542,13,75.8,0.213,STAPLES Center,"776,917","18,949"
2017,13,Denver Nuggets,W,40,42,0.488,0.51,113.9,113.43,0.47,0.7,114.06,113.39,0.67,25.2,42,40,0.19,0.7,113.2,112.7,98.3,0.276,0.329,0.568,0.53,13.2,27.3,0.214,0.532,10.9,78.7,0.194,Pepsi Center,"605,585","14,672"
2017,30,Orlando Magic,E,29,53,0.354,-6.57,104.23,111.11,-6.88,-6.61,104.3,111.21,-6.92,25.3,24,58,-0.04,-6.61,103.7,110.5,96.8,0.246,0.3,0.524,0.489,12.1,21.6,0.184,0.523,11.9,77.4,0.201,Amway Center,"727,875","17,753"
2017,21,Detroit Pistons,E,37,45,0.451,-1.12,106.53,107.9,-1.37,-1.29,106.39,107.93,-1.54,25.4,38,44,-0.17,-1.29,106,107.1,95,0.218,0.263,0.521,0.492,10.9,24.1,0.157,0.516,12.1,81.2,0.197,The Palace of Auburn Hills,"655,141","15,979"
2017,17,Milwaukee Bucks,E,42,40,0.512,-0.18,109.92,110.16,-0.23,-0.44,109.96,110.46,-0.5,25.6,40,42,-0.26,-0.45,109.1,109.3,94.5,0.274,0.29,0.565,0.527,13.2,21.5,0.21,0.518,13.6,75.4,0.215,BMO Harris Bradley Center,"648,952","15,828"
2017,22,New Orleans Pelicans,W,34,48,0.415,-2.1,105.81,108.01,-2.2,-1.69,105.79,107.57,-1.78,25.7,35,47,0.41,-1.69,105.2,107.4,98,0.256,0.308,0.539,0.504,11.7,18.5,0.192,0.509,12.4,76.8,0.177,Smoothie King Center,"663,099","16,173"
2017,8,Boston Celtics,E,53,29,0.646,2.63,111.88,109.16,2.72,2.25,111.81,109.49,2.33,25.9,48,34,-0.39,2.25,111.2,108.4,96.8,0.273,0.393,0.567,0.525,12.2,21.2,0.22,0.503,12.6,75.3,0.223,TD Garden,"760,690","18,553"
2017,29,Brooklyn Nets,E,20,62,0.244,-6.73,104.61,111.34,-6.73,-6.74,104.63,111.37,-6.74,26,24,58,-0.01,-6.74,104.1,110.7,101.3,0.289,0.371,0.551,0.507,14.7,19.6,0.228,0.513,11.6,76.1,0.212,Barclays Center,"632,608","15,429"
2017,9,Washington Wizards,E,49,33,0.598,1.8,111.98,110.06,1.92,1.36,111.96,110.49,1.46,26,46,36,-0.45,1.36,111.2,109.3,97.4,0.254,0.284,0.564,0.528,12.8,24.1,0.199,0.524,13.8,75.5,0.213,Verizon Center,"697,107","17,003"
2017,6,Toronto Raptors,E,51,31,0.622,4.21,113.2,108.68,4.51,3.65,113.07,109.14,3.93,26.1,52,30,-0.56,3.65,112.3,107.8,94.7,0.293,0.289,0.561,0.517,11.8,25,0.233,0.507,13.5,76.3,0.223,Air Canada Centre,"813,050","19,830"
2017,14,Charlotte Hornets,E,36,46,0.439,0.2,109.57,109.31,0.25,-0.06,109.53,109.55,-0.02,26.5,42,40,-0.26,-0.07,108.8,108.6,95.7,0.279,0.335,0.547,0.501,10.7,19.9,0.227,0.523,12.1,79.6,0.164,Spectrum Center,"710,643","17,333"
2017,12,Miami Heat,E,41,41,0.5,1.06,108.73,107.65,1.09,0.78,108.62,107.84,0.79,26.5,44,38,-0.29,0.77,107.8,106.7,95.2,0.251,0.314,0.541,0.512,12.4,24.2,0.177,0.496,12.6,76.4,0.22,AmericanAirlines Arena,"805,400","19,644"
2017,5,Utah Jazz,W,51,31,0.622,3.94,110.46,106.19,4.27,4,110.31,105.98,4.33,26.8,52,30,0.06,4,109.6,105.3,91.6,0.288,0.327,0.563,0.526,13.2,23.2,0.215,0.493,11.8,78.9,0.195,Vivint Smart Home Arena,"806,142","19,662"
2017,15,Chicago Bulls,E,41,41,0.5,0.43,108.04,107.72,0.32,0.03,107.91,107.98,-0.08,26.9,42,40,-0.39,0.03,107.4,107,95.3,0.259,0.256,0.53,0.487,12.3,27,0.206,0.507,12.4,76.8,0.169,United Center,"888,882","21,680"
2017,18,Indiana Pacers,E,42,40,0.512,-0.22,109.33,109.49,-0.16,-0.64,109.21,109.81,-0.6,27,40,42,-0.42,-0.64,108.6,108.8,95.9,0.261,0.272,0.558,0.516,12.8,21.2,0.212,0.512,13.6,75.5,0.225,Bankers Life Fieldhouse,"684,578","16,697"
2017,25,New York Knicks,E,31,51,0.378,-3.67,108.57,112.35,-3.77,-3.87,108.62,112.6,-3.98,27.3,31,51,-0.2,-3.87,107.7,111.5,96,0.239,0.279,0.534,0.496,12.4,26.6,0.188,0.511,11.7,74.1,0.214,Madison Square Garden (IV),"810,741","19,774"
2017,3,Houston Rockets,W,55,27,0.671,5.77,115.59,109.96,5.63,5.84,115.7,109.98,5.72,27.4,55,27,0.08,5.84,114.7,109,100,0.304,0.462,0.583,0.545,13.3,24.6,0.233,0.519,13.2,75.8,0.194,Toyota Center,"695,903","16,973"
2017,23,Dallas Mavericks,W,33,49,0.402,-2.93,106.28,109.36,-3.08,-2.52,106.31,108.96,-2.65,27.6,33,49,0.4,-2.53,105.6,108.8,92.2,0.225,0.366,0.541,0.505,11.6,18.1,0.18,0.529,14.4,77.6,0.218,American Airlines Center,"811,366","19,789"
2017,24,Sacramento Kings,W,32,50,0.39,-3.88,107.98,112.18,-4.21,-3.29,108.12,111.72,-3.59,27.8,31,51,0.58,-3.29,107.3,111.3,94.9,0.284,0.291,0.556,0.516,13.7,21,0.22,0.528,12.9,76.3,0.227,Golden 1 Center,"721,928","17,608"
2017,20,Atlanta Hawks,E,43,39,0.524,-0.85,105.55,106.54,-0.99,-1.23,105.32,106.69,-1.37,27.9,39,43,-0.38,-1.23,104.9,105.7,97.4,0.295,0.309,0.541,0.504,14.2,23.6,0.215,0.507,13.8,76.1,0.179,Philips Arena,"654,306","15,959"
2017,1,Golden State Warriors,W,67,15,0.817,11.63,116.26,104.57,11.69,11.35,116.02,104.61,11.41,28.2,67,15,-0.28,11.35,115.6,104,99.8,0.259,0.359,0.597,0.563,13.2,22.8,0.204,0.486,13.5,74.9,0.198,Oracle Arena,"803,436","19,596"
2017,7,Cleveland Cavaliers,E,51,31,0.622,3.18,114.25,110.99,3.27,2.88,114.33,111.38,2.95,29.2,49,33,-0.31,2.87,113.6,110.3,96.2,0.275,0.399,0.58,0.547,12.6,21.9,0.206,0.516,11.4,75.8,0.174,Quicken Loans Arena,"843,042","20,562"
2017,11,Memphis Grizzlies,W,43,39,0.524,0.49,108.59,107.89,0.7,0.96,108.71,107.55,1.17,29.5,42,40,0.47,0.96,107.7,107.1,92.3,0.28,0.316,0.535,0.491,12.1,24.8,0.219,0.506,13.6,77.5,0.256,FedEx Forum,"677,314","16,520"
2017,2,San Antonio Spurs,W,61,21,0.744,7.2,111.81,104.25,7.56,7.13,111.62,104.12,7.49,29.6,60,22,-0.06,7.13,111.1,103.5,94.2,0.263,0.281,0.564,0.524,12.6,24,0.21,0.492,13.5,77.6,0.192,AT&T Center,"755,347","18,423"
2017,4,Los Angeles Clippers,W,51,31,0.622,4.29,113.38,108.88,4.5,4.42,113.46,108.82,4.64,30,52,30,0.13,4.42,112.7,108.2,96.1,0.312,0.329,0.574,0.537,12,21.5,0.233,0.506,12.1,76.9,0.211,STAPLES Center,"782,609","19,088"
2018,30,Phoenix Suns,W,21,61,0.256,-9.37,104.25,113.51,-9.26,-8.8,104.5,113.19,-8.69,23.7,19,63,0.57,-8.8,103.5,112.8,100.3,0.275,0.32,0.532,0.495,13.9,22.5,0.203,0.533,11.9,76.5,0.212,Talking Stick Resort Arena,"690,576","16,843"
2018,21,Los Angeles Lakers,W,35,47,0.427,-1.55,107.1,108.64,-1.54,-1.43,106.96,108.39,-1.43,23.7,37,45,0.11,-1.44,106.5,108,100.3,0.264,0.329,0.548,0.517,13.8,23.6,0.188,0.514,12.5,77.7,0.19,STAPLES Center,"776,327","18,935"
2018,28,Chicago Bulls,E,27,55,0.329,-7.04,104.39,111.61,-7.22,-6.84,104.46,111.47,-7.01,24.4,23,59,0.2,-6.84,103.8,110.9,98.3,0.216,0.35,0.529,0.497,12.6,20.6,0.164,0.542,12.4,80.6,0.184,United Center,"851,824","20,776"
2018,7,Boston Celtics,E,55,27,0.671,3.59,108.4,104.65,3.75,3.24,108.14,104.75,3.39,24.7,51,31,-0.35,3.23,107.6,103.9,96,0.243,0.357,0.552,0.518,13,21.5,0.188,0.495,13,78.4,0.191,TD Garden,"763,584","18,624"
2018,24,Brooklyn Nets,E,28,54,0.341,-3.74,107.71,111.51,-3.8,-3.67,107.83,111.55,-3.72,25.1,31,51,0.07,-3.67,106.9,110.6,98.9,0.26,0.411,0.551,0.514,13.6,21,0.201,0.517,11,77,0.201,Barclays Center,"640,010","15,376"
2018,11,Denver Nuggets,W,46,36,0.561,1.48,113.02,111.4,1.62,1.57,113.21,111.5,1.71,25.1,45,37,0.09,1.57,112.5,111,96.8,0.258,0.357,0.57,0.536,13.4,25.7,0.198,0.539,12.6,77.5,0.173,Pepsi Center,"702,796","17,141"
2018,26,Atlanta Hawks,E,24,58,0.293,-5.45,105.74,111.21,-5.47,-5.3,105.81,111.12,-5.31,25.4,27,55,0.15,-5.3,105,110.6,98.3,0.236,0.363,0.547,0.512,14.1,21.1,0.185,0.536,13.6,76.2,0.183,Philips Arena,"590,769","14,409"
2018,25,Orlando Magic,E,25,57,0.305,-4.82,105.83,110.85,-5.02,-4.92,105.77,110.88,-5.11,25.6,28,54,-0.1,-4.92,105.2,110.1,98.1,0.238,0.342,0.545,0.512,13.3,20,0.18,0.525,12.8,75.6,0.187,Amway Center,"734,531","17,915"
2018,9,Portland Trail Blazers,W,49,33,0.598,2.6,109.58,106.93,2.66,2.6,109.44,106.79,2.66,25.6,48,34,0,2.6,109.1,106.4,96.5,0.24,0.324,0.549,0.511,12.3,23.3,0.192,0.503,11.7,79.1,0.193,Moda Center,"795,750","19,409"
2018,5,Philadelphia 76ers,E,52,30,0.634,4.5,110.28,105.77,4.51,4.3,110.12,105.81,4.31,25.8,53,29,-0.2,4.3,109.5,105,99.8,0.263,0.344,0.568,0.535,14.6,25.3,0.198,0.492,12.6,78.6,0.218,Wells Fargo Center,"833,503","20,361"
2018,2,Toronto Raptors,E,59,23,0.72,7.78,114.6,106.56,8.03,7.3,114.5,106.96,7.54,25.8,60,22,-0.49,7.29,113.8,105.9,97.4,0.25,0.377,0.575,0.539,12.1,23,0.198,0.501,13,77.7,0.212,Air Canada Centre,"813,431","19,840"
2018,19,Detroit Pistons,E,39,43,0.476,-0.15,107.95,108.14,-0.19,-0.26,107.84,108.14,-0.3,25.9,41,41,-0.11,-0.26,107.2,107.3,96.2,0.227,0.333,0.543,0.512,12.3,22.7,0.169,0.524,13.7,78.5,0.172,Little Caesars Arena,"713,945","17,413"
2018,20,Milwaukee Bucks,E,44,38,0.537,-0.3,110.67,110.98,-0.31,-0.45,110.7,111.16,-0.46,25.9,40,42,-0.15,-0.45,109.8,110.1,96.2,0.281,0.297,0.571,0.531,12.9,20.4,0.22,0.528,14.2,75.9,0.22,BMO Harris Bradley Center,"685,303","16,856"
2018,27,Memphis Grizzlies,W,22,60,0.268,-6.21,105.29,111.85,-6.57,-5.81,105.44,111.59,-6.15,26,25,57,0.39,-5.81,104.5,111,94.9,0.255,0.317,0.539,0.5,14,22.4,0.201,0.529,13.8,76.5,0.256,FedEx Forum,"653,863","15,948"
2018,13,Indiana Pacers,E,48,34,0.585,1.38,110.24,108.8,1.44,1.18,110.17,108.94,1.24,26.2,45,37,-0.2,1.18,109.5,108.1,96,0.222,0.284,0.557,0.525,12.3,22.7,0.173,0.527,14.2,76.2,0.174,Bankers Life Fieldhouse,"658,119","16,052"
2018,29,Sacramento Kings,W,27,55,0.329,-6.99,104.47,111.9,-7.43,-6.59,104.6,111.62,-7.02,26.3,23,59,0.39,-6.6,103.7,111.1,94.9,0.194,0.278,0.529,0.502,12.8,21.5,0.143,0.542,13.5,77.6,0.199,Golden 1 Center,"714,680","17,431"
2018,23,New York Knicks,E,29,53,0.354,-3.56,107.72,111.36,-3.65,-3.53,107.77,111.38,-3.61,26.3,32,50,0.03,-3.53,107.1,110.7,96.8,0.216,0.266,0.544,0.51,13.3,24.1,0.17,0.522,12.2,76.7,0.208,Madison Square Garden (IV),"792,608","19,332"
2018,16,Miami Heat,E,44,38,0.537,0.48,107.63,107.12,0.51,0.15,107.47,107.28,0.18,26.5,42,40,-0.33,0.15,106.8,106.3,95.6,0.229,0.358,0.551,0.52,13.3,21.5,0.173,0.507,13.1,79,0.215,AmericanAirlines Arena,"804,850","19,630"
2018,18,Charlotte Hornets,E,36,46,0.439,0.26,109.95,109.72,0.23,0.07,109.93,109.89,0.04,26.6,42,40,-0.19,0.07,109.4,109.1,98.4,0.312,0.314,0.549,0.508,11.4,22.2,0.233,0.532,12.4,80.7,0.165,Spectrum Center,"671,404","16,376"
2018,4,Utah Jazz,W,48,34,0.585,4.3,109.07,104.56,4.51,4.47,108.92,104.24,4.68,26.7,53,29,0.17,4.47,108.4,103.9,95.7,0.26,0.357,0.564,0.527,13.7,21.5,0.202,0.506,14,79.8,0.19,Vivint Smart Home Arena,"734,806","17,922"
2018,15,Washington Wizards,E,43,39,0.524,0.59,109.96,109.41,0.55,0.53,110,109.49,0.5,26.9,43,39,-0.06,0.53,109.3,108.7,96.6,0.254,0.31,0.56,0.525,13.3,23.5,0.196,0.522,13.6,77.1,0.212,Capital One Arena,"739,302","18,032"
2018,17,Los Angeles Clippers,W,42,40,0.512,0.04,110.97,111.02,-0.05,0.15,111.06,111,0.07,27,41,41,0.11,0.15,110.3,110.2,98.7,0.299,0.314,0.564,0.527,13.2,23.5,0.222,0.52,12.6,76.1,0.203,STAPLES Center,"697,812","17,020"
2018,10,Minnesota Timberwolves,W,47,35,0.573,2.23,114.24,111.86,2.38,2.35,114.41,111.91,2.5,27.1,47,35,0.12,2.35,113.4,111.1,96,0.28,0.261,0.566,0.523,11.4,24.4,0.225,0.539,13.9,76.4,0.189,Target Center,"699,308","17,056"
2018,6,Oklahoma City Thunder,W,48,34,0.585,3.41,111.48,108.02,3.47,3.42,111.5,108.03,3.47,27.3,50,32,0,3.42,110.7,107.2,96.7,0.275,0.345,0.546,0.514,12.4,27.7,0.197,0.525,14.7,77.4,0.193,Chesapeake Energy Arena,"746,322","18,203"
2018,12,New Orleans Pelicans,W,48,34,0.585,1.3,110.29,109.05,1.24,1.48,110.37,108.95,1.42,27.6,44,38,0.18,1.48,109.6,108.3,100.5,0.237,0.319,0.573,0.541,13.3,20,0.183,0.513,12.5,76.7,0.175,Smoothie King Center,"673,920","16,437"
2018,22,Dallas Mavericks,W,24,58,0.293,-3.04,106.92,110,-3.08,-2.7,106.96,109.7,-2.74,27.7,33,49,0.34,-2.7,106.3,109.5,95.6,0.217,0.382,0.544,0.513,11.6,18,0.166,0.532,12.9,78.9,0.193,American Airlines Center,"811,453","19,792"
2018,3,Golden State Warriors,W,58,24,0.707,5.98,114.31,108.43,5.88,5.79,114.33,108.62,5.7,28.8,56,26,-0.19,5.79,113.6,107.6,99.6,0.239,0.339,0.603,0.569,14.1,21,0.195,0.504,12.6,76.3,0.186,Oracle Arena,"803,436","19,596"
2018,8,San Antonio Spurs,W,47,35,0.573,2.89,108.49,105.36,3.13,2.89,108.35,105.23,3.12,29.3,49,33,0,2.89,107.9,104.8,95,0.245,0.282,0.543,0.507,12.2,23.7,0.189,0.507,13.2,78.6,0.17,AT&T Center,"754,562","18,404"
2018,1,Houston Rockets,W,65,17,0.793,8.48,115.48,106.84,8.64,8.21,115.45,107.08,8.37,29.8,61,21,-0.27,8.21,114.7,106.1,97.6,0.298,0.502,0.59,0.551,12.7,21.3,0.233,0.521,13.4,79.9,0.171,Toyota Center,"732,722","17,871"
2018,14,Cleveland Cavaliers,E,50,32,0.61,0.94,113.58,112.56,1.02,0.59,113.61,112.94,0.67,30.6,43,39,-0.35,0.59,112.9,111.9,98,0.275,0.379,0.584,0.547,12.6,20.1,0.214,0.54,12.2,77.3,0.166,Quicken Loans Arena,"843,042","20,562"